Processes,Size,Algorithm,Latency
2,2,1,total
2,2,2,total
2,2,3,total
2,2,4,total
2,4,1,total
2,4,2,total
2,4,3,total
2,4,4,total
2,8,1,total
2,8,2,total
2,8,3,total
2,8,4,total
2,16,1,total
2,16,2,total
2,16,3,total
2,16,4,total
2,32,1,total
2,32,2,total
2,32,3,total
2,32,4,total
2,64,1,total
2,64,2,total
2,64,3,total
2,64,4,total
2,128,1,total
2,128,2,total
2,128,3,total
2,128,4,total
2,256,1,total
2,256,2,total
2,256,3,total
2,256,4,total
2,512,1,total
2,512,2,total
2,512,3,total
2,512,4,total
2,1024,1,total
2,1024,2,total
2,1024,3,total
2,1024,4,total
2,2048,1,total
2,2048,2,total
2,2048,3,total
2,2048,4,total
2,4096,1,total
2,4096,2,total
2,4096,3,total
2,4096,4,total
2,8192,1,total
2,8192,2,total
2,8192,3,total
2,8192,4,total
2,16384,1,total
2,16384,2,total
2,16384,3,total
2,16384,4,total
2,32768,1,total
2,32768,2,total
2,32768,3,total
2,32768,4,total
2,65536,1,total
2,65536,2,total
2,65536,3,total
2,65536,4,total
2,131072,1,total
2,131072,2,total
2,131072,3,total
2,131072,4,total
2,262144,1,total
2,262144,2,total
2,262144,3,total
2,262144,4,total
2,524288,1,total
2,524288,2,total
2,524288,3,total
2,524288,4,total
2,1048576,1,total
2,1048576,2,total
2,1048576,3,total
2,1048576,4,total
4,2,1,total
4,2,2,total
4,2,3,total
4,2,4,total
4,4,1,total
4,4,2,total
4,4,3,total
4,4,4,total
4,8,1,total
4,8,2,total
4,8,3,total
4,8,4,total
4,16,1,total
4,16,2,total
4,16,3,total
4,16,4,total
4,32,1,total
4,32,2,total
4,32,3,total
4,32,4,total
4,64,1,total
4,64,2,total
4,64,3,total
4,64,4,total
4,128,1,total
4,128,2,total
4,128,3,total
4,128,4,total
4,256,1,total
4,256,2,total
4,256,3,total
4,256,4,total
4,512,1,total
4,512,2,total
4,512,3,total
4,512,4,total
4,1024,1,total
4,1024,2,total
4,1024,3,total
4,1024,4,total
4,2048,1,total
4,2048,2,total
4,2048,3,total
4,2048,4,total
4,4096,1,total
4,4096,2,total
4,4096,3,total
4,4096,4,total
4,8192,1,total
4,8192,2,total
4,8192,3,total
4,8192,4,total
4,16384,1,total
4,16384,2,total
4,16384,3,total
4,16384,4,total
4,32768,1,total
4,32768,2,total
4,32768,3,total
4,32768,4,total
4,65536,1,total
4,65536,2,total
4,65536,3,total
4,65536,4,total
4,131072,1,total
4,131072,2,total
4,131072,3,total
4,131072,4,total
4,262144,1,total
4,262144,2,total
4,262144,3,total
4,262144,4,total
4,524288,1,total
4,524288,2,total
4,524288,3,total
4,524288,4,total
4,1048576,1,total
4,1048576,2,total
4,1048576,3,total
4,1048576,4,total
6,2,1,total
6,2,2,total
6,2,3,total
6,2,4,total
6,4,1,total
6,4,2,total
6,4,3,total
6,4,4,total
6,8,1,total
6,8,2,total
6,8,3,total
6,8,4,total
6,16,1,total
6,16,2,total
6,16,3,total
6,16,4,total
6,32,1,total
6,32,2,total
6,32,3,total
6,32,4,total
6,64,1,total
6,64,2,total
6,64,3,total
6,64,4,total
6,128,1,total
6,128,2,total
6,128,3,total
6,128,4,total
6,256,1,total
6,256,2,total
6,256,3,total
6,256,4,total
6,512,1,total
6,512,2,total
6,512,3,total
6,512,4,total
6,1024,1,total
6,1024,2,total
6,1024,3,total
6,1024,4,total
6,2048,1,total
6,2048,2,total
6,2048,3,total
6,2048,4,total
6,4096,1,total
6,4096,2,total
6,4096,3,total
6,4096,4,total
6,8192,1,total
6,8192,2,total
6,8192,3,total
6,8192,4,total
6,16384,1,total
6,16384,2,total
6,16384,3,total
6,16384,4,total
6,32768,1,total
6,32768,2,total
6,32768,3,total
6,32768,4,total
6,65536,1,total
6,65536,2,total
6,65536,3,total
6,65536,4,total
6,131072,1,total
6,131072,2,total
6,131072,3,total
6,131072,4,total
6,262144,1,total
6,262144,2,total
6,262144,3,total
6,262144,4,total
6,524288,1,total
6,524288,2,total
6,524288,3,total
6,524288,4,total
6,1048576,1,total
6,1048576,2,total
6,1048576,3,total
6,1048576,4,total
8,2,1,total
8,2,2,total
8,2,3,total
8,2,4,total
8,4,1,total
8,4,2,total
8,4,3,total
8,4,4,total
8,8,1,total
8,8,2,total
8,8,3,total
8,8,4,total
8,16,1,total
8,16,2,total
8,16,3,total
8,16,4,total
8,32,1,total
8,32,2,total
8,32,3,total
8,32,4,total
8,64,1,total
8,64,2,total
8,64,3,total
8,64,4,total
8,128,1,total
8,128,2,total
8,128,3,total
8,128,4,total
8,256,1,total
8,256,2,total
8,256,3,total
8,256,4,total
8,512,1,total
8,512,2,total
8,512,3,total
8,512,4,total
8,1024,1,total
8,1024,2,total
8,1024,3,total
8,1024,4,total
8,2048,1,total
8,2048,2,total
8,2048,3,total
8,2048,4,total
8,4096,1,total
8,4096,2,total
8,4096,3,total
8,4096,4,total
8,8192,1,total
8,8192,2,total
8,8192,3,total
8,8192,4,total
8,16384,1,total
8,16384,2,total
8,16384,3,total
8,16384,4,total
8,32768,1,total
8,32768,2,total
8,32768,3,total
8,32768,4,total
8,65536,1,total
8,65536,2,total
8,65536,3,total
8,65536,4,total
8,131072,1,total
8,131072,2,total
8,131072,3,total
8,131072,4,total
8,262144,1,total
8,262144,2,total
8,262144,3,total
8,262144,4,total
8,524288,1,total
8,524288,2,total
8,524288,3,total
8,524288,4,total
8,1048576,1,total
8,1048576,2,total
8,1048576,3,total
8,1048576,4,total
10,2,1,total
10,2,2,total
10,2,3,total
10,2,4,total
10,4,1,total
10,4,2,total
10,4,3,total
10,4,4,total
10,8,1,total
10,8,2,total
10,8,3,total
10,8,4,total
10,16,1,total
10,16,2,total
10,16,3,total
10,16,4,total
10,32,1,total
10,32,2,total
10,32,3,total
10,32,4,total
10,64,1,total
10,64,2,total
10,64,3,total
10,64,4,total
10,128,1,total
10,128,2,total
10,128,3,total
10,128,4,total
10,256,1,total
10,256,2,total
10,256,3,total
10,256,4,total
10,512,1,total
10,512,2,total
10,512,3,total
10,512,4,total
10,1024,1,total
10,1024,2,total
10,1024,3,total
10,1024,4,total
10,2048,1,total
10,2048,2,total
10,2048,3,total
10,2048,4,total
10,4096,1,total
10,4096,2,total
10,4096,3,total
10,4096,4,total
10,8192,1,total
10,8192,2,total
10,8192,3,total
10,8192,4,total
10,16384,1,total
10,16384,2,total
10,16384,3,total
10,16384,4,total
10,32768,1,total
10,32768,2,total
10,32768,3,total
10,32768,4,total
10,65536,1,total
10,65536,2,total
10,65536,3,total
10,65536,4,total
10,131072,1,total
10,131072,2,total
10,131072,3,total
10,131072,4,total
10,262144,1,total
10,262144,2,total
10,262144,3,total
10,262144,4,total
10,524288,1,total
10,524288,2,total
10,524288,3,total
10,524288,4,total
10,1048576,1,total
10,1048576,2,total
10,1048576,3,total
10,1048576,4,total
12,2,1,total
12,2,2,total
12,2,3,total
12,2,4,total
12,4,1,total
12,4,2,total
12,4,3,total
12,4,4,total
12,8,1,total
12,8,2,total
12,8,3,total
12,8,4,total
12,16,1,total
12,16,2,total
12,16,3,total
12,16,4,total
12,32,1,total
12,32,2,total
12,32,3,total
12,32,4,total
12,64,1,total
12,64,2,total
12,64,3,total
12,64,4,total
12,128,1,total
12,128,2,total
12,128,3,total
12,128,4,total
12,256,1,total
12,256,2,total
12,256,3,total
12,256,4,total
12,512,1,total
12,512,2,total
12,512,3,total
12,512,4,total
12,1024,1,total
12,1024,2,total
12,1024,3,total
12,1024,4,total
12,2048,1,total
12,2048,2,total
12,2048,3,total
12,2048,4,total
12,4096,1,total
12,4096,2,total
12,4096,3,total
12,4096,4,total
12,8192,1,total
12,8192,2,total
12,8192,3,total
12,8192,4,total
12,16384,1,total
12,16384,2,total
12,16384,3,total
12,16384,4,total
12,32768,1,total
12,32768,2,total
12,32768,3,total
12,32768,4,total
12,65536,1,total
12,65536,2,total
12,65536,3,total
12,65536,4,total
12,131072,1,total
12,131072,2,total
12,131072,3,total
12,131072,4,total
12,262144,1,total
12,262144,2,total
12,262144,3,total
12,262144,4,total
12,524288,1,total
12,524288,2,total
12,524288,3,total
12,524288,4,total
12,1048576,1,total
12,1048576,2,total
12,1048576,3,total
12,1048576,4,total
14,2,1,total
14,2,2,total
14,2,3,total
14,2,4,total
14,4,1,total
14,4,2,total
14,4,3,total
14,4,4,total
14,8,1,total
14,8,2,total
14,8,3,total
14,8,4,total
14,16,1,total
14,16,2,total
14,16,3,total
14,16,4,total
14,32,1,total
14,32,2,total
14,32,3,total
14,32,4,total
14,64,1,total
14,64,2,total
14,64,3,total
14,64,4,total
14,128,1,total
14,128,2,total
14,128,3,total
14,128,4,total
14,256,1,total
